,name,estab_year,employees_count,location,designation,hr_name,skills
0,FalconX,Founded in 2018,50 - 200 employees,Bangalore,Finance Associate Controller (Drive),Divya Kasula,"Chartered Accountant,IFRS,Legal Compliance,Statutory Audit,Transfer Pricing,US GAAP"
1,FalconX,Founded in 2018,50 - 200 employees,Bangalore,Finance Associate Reporting (Drive),Divya Kasula,"Chartered Accountant,Financial Reporting,Liquidity Management,SAS Regulatory"
2,goGlocal,Founded in 2021,10 - 50 employees,Mumbai,BDE / BDA - Inside Sales (Drive),Kreesha Shah,"Lead Generation,Sales"
3,IDfy,Founded in 2011,200 - 500 employees,Mumbai,Key Account Manager (Drive),Stuti Srivastava,"Business Development,Key Account Management,Lead Generation,Sales"
4,Indium Software,Founded in 1999,More than 1000 employees,"Bangalore, Hyderabad",Data Analyst / Senior Data Analyst (Drive),Mohamed Aslam,"NumPy,Power BI,Python,R,SQL,Tableau,pandas"
5,Kaleidofin,Founded in 2017,50 - 200 employees,"Bangalore, Chennai",Data Scientist (Drive),Natasha Jethanandani,"Algorithms,Azure Machine Learning,Big Data,Cloud Computing,Credit Management,Hadoop,Hive,Machine Learning,MapReduce,Pig,Python,SQL,Spark"
6,Kaleidofin,Founded in 2017,50 - 200 employees,"Bangalore, Chennai",Product Solution Engineer (Drive),Natasha Jethanandani,"Amazon API Gateway,Azure API Management,C#,C++,JSON,Java,JavaScript,Open XML SDK,PHP,Payment Processing,Product Management,Python,SQL,VB.NET"
7,Kutumb,Founded in 2020,50 - 200 employees,Bangalore,Brand Sales Manager (Drive),Dimpy Mehra,"Corporate Sales,Direct Sales,Sales"
8,Lifesight,Founded in 2017,50 - 200 employees,Bangalore,Inside Sales Manager (Drive),Madhuparna Chakraborty,"International Sales,Lead Generation,Sales"
9,Vymo,Founded in 2013,50 - 200 employees,Bangalore,Customer Success Manager (Drive),Shashank Shrivastava,"Customer Interaction,Customer Relationship,Customer Service,L1 Support,L2 Support,Stakeholder Management"
10,Axis Bank,Founded in 1994,More than 1000 employees,"Bangalore, Mumbai",Relationship Manager (Drive),Riddhi Thakkar,"Corporate Sales,Debt Market,Equity Advisory,Mutual Funds,NISM,Sales"
11,Axis Bank,Founded in 1994,More than 1000 employees,"Amritsar, Chennai, Delhi",Sales Manager - Portfolio (Drive),Barkha Arora,"Business Development,Lead Generation,Sales"
12,Blu Smart,Founded in 2019,10 - 50 employees,Gurgaon,Blu Smart - Business Development Manager $$ SPP,Pinnacle Consultz,"Wealth Management,HNI,Business Development,Finance,Asset Management"
13,Blu Smart,Founded in 2019,10 - 50 employees,Gurgaon,Business Development Manager,Pinnacle Consultz,"Wealth Management,HNI,Asset Management,Business Development,Finance"
14,CRED,Founded in 2018,200 - 500 employees,Bangalore,Solution Engineer,Nabanita Debnath,"Java,Python,SQL,L2 Support"
15,Harman Connected Services,Founded in 2012,50 - 200 employees,Pune,Software Developer,Sharayu Zadkar,"Embedded Systems,Embedded C++"
16,Hy-Vee,Founded in 1930,More than 1000 employees,Bangalore,Principal Software Engineer,Payal Arora,".NET,React.js,Docker,Kubernetes"
17,NxtWave,Founded in 2020,More than 1000 employees,Hyderabad,Head of Sourcing (Drive),Sai Pavani Yayi,"Campus Recruitment,IT Recruitment,Non IT Recruitment,Recruitment"
18,Persistent Systems,Founded in 1990,More than 1000 employees,Indore,Data Analyst,Aakanksha Mishra,"Data Analysis,Healthcare,SQL,Business Intelligence,Power BI"
19,Wishfin,Founded in 2016,200 - 500 employees,Noida,Core PHP Developer,Viswanadh Reddy,"PHP,MySQL,HTML,CSS,jQuery"
20,Blue Yonder,Founded in 1985,More than 1000 employees,Bangalore,Principal Architect,Sahil Dua,"Architecture,Distributed Systems,Java,Python,Scala"
21,FedEx,Founded in 1973,More than 1000 employees,Hyderabad,Full Stack Developer,Payal Arora,"Java,Microservices,AWS,Spring"
22,Flash,Founded in 2022,10 - 50 employees,Bangalore,Data Analyst,Priyanka Poonia,"SQL,Python,Tableau,Data Analysis,Business Intelligence"
23,Harman Connected Services,Founded in 2012,50 - 200 employees,Pune,Test Engineer,Sharayu Zadkar,"HIL Testing,Python"
24,HDFC ERGO,Founded in 2002,More than 1000 employees,Mumbai,Frontend Developer,Rajath Gv,"JavaScript,Next.js,React.js,AWS,CSS"
25,Persistent Systems,Founded in 1990,More than 1000 employees,Noida,Data Analysit,Aakanksha Mishra,"Data Analysis,Healthcare,SQL"
